,spending
0,-1.200164781977361
1,-0.9758257204558702
2,-0.8504139534247589
3,-0.7421391980376507
4,-0.9329831913458633
5,-0.9236357304491346
6,-0.7203284559452839
7,-0.5294844626370713
8,-0.4180938869510528
9,-0.2965768952935785
10,-0.07924842944463457
11,0.05239497818429555
12,0.1980595771583194
13,0.4488831112205411
14,0.5415787651131013
15,0.7448860396169524
16,1.2543226584886709
17,2.027825047692978
18,2.4009445284874014
