,Component 1,Component 2
0,-9.820166540939992,0.06652322237259393
1,-8.716750549371385,1.013127968320259
2,-7.685361790654357,1.9150322078955935
3,-6.686969403887113,2.0519519843075344
4,-5.623798153654593,2.1740669628640474
5,-4.70779757879177,-1.0357068218659051
6,-3.8176675312628774,-1.7960189502478794
7,-2.8200806167035823,-1.9206880125635328
8,-1.7259173924826399,-1.162752467494844
9,-0.6685444837902439,-1.3833433822221324
10,0.43203342824752544,-1.2140548251248844
11,1.5217525821881288,-0.8883868266038975
12,2.5501996728955625,-0.9927625121301308
13,3.6140038025364603,-0.4903859928995952
14,4.677353908505054,0.07917545041907774
15,5.727026787585175,0.5288997974396701
16,6.750382635923158,0.23567190358341752
17,7.6499524008222775,-1.4519479247381561
18,9.10425503307219,1.226348876924829
19,10.246093789763025,3.045249341763934
