,gdp,population,unemployment_rate,interest_rate,inflation_rate,real_estate_sales,prev_year
0,-1.3437052123913236,-1.5488227610341307,-0.2132916270482599,0.3450680077901875,0.5548657956446187,-0.8595129624950898,-1.4064453744543628
1,-1.1213164120870187,-1.3547585257611956,-0.4799061608585846,1.5949206344318114,0.5548657956446187,-0.5800406710043022,-1.1425990558336172
2,-0.9112697695057128,-1.1596455953926406,-0.7465206946689094,2.349662558732309,-0.3031740945274722,-0.3968913537651938,-0.8858837187972158
3,-0.7330795292015472,-0.959178038458052,-0.4265832540965198,1.8907794687576067,1.012487070403067,-0.4905010047985159,-0.7423727144122829
4,-0.6530989924271018,-0.7613109342984491,0.7998436014309735,-0.5847740429480256,-0.8179980286307268,-0.7089235238762673,-0.6184719093842977
5,-0.7320433506816199,-0.5724529677160373,2.186239177244662,-0.7477982985969331,-0.4175794132170843,-0.8581563008859112,-0.8368582204048475
6,-0.577590526392709,-0.3934038500063255,1.8663017366722727,-0.7055327508361052,-0.8179980286307268,-0.9680458912293762,-0.8261617480283309
7,-0.4285837265440428,-0.2128159802330859,1.439718482575753,-0.7719500401745489,0.4976631362998125,-1.0087457395047337,-0.5935134738390925
8,-0.2515838740956683,-0.0268012826141361,1.1197810420033636,-0.7236465570193172,-0.4175794132170843,-0.5813973326134808,-0.3751271628185428
9,-0.092174707643554,0.155803262085041,0.4799061608585842,-0.7719500401745489,-0.7607953692859207,-0.1757555114690851,-0.24766086699838458
10,0.0992315432868397,0.3340471042409211,-0.1066458135241304,-0.7659121047801449,-0.7035927099411147,0.0413103459994877,-0.108606726103667
11,0.2765289926991622,0.5065935481102598,-0.4265832540965198,-0.7477982985969331,-1.161213984699563,0.1362766586419884,0.14008625665034657
12,0.4088487191511914,0.6810579851193856,-0.5865519743827146,-0.5726981721592177,-0.4747820725618905,0.2909360820883466,0.29072824261962354
13,0.6204753310683656,0.8540885194627684,-0.9064894149551044,-0.1198530175789191,-0.18876877583786,0.4862953538100623,0.45741493715367615
14,0.9060926645037994,1.0115507282950242,-1.0131352284792343,0.5080922634390951,-0.18876877583786,0.7535576908182426,0.7444369459235409
15,1.1354912260225472,1.1576717719597138,-1.173103948765429,0.1156264628028362,-0.2459714351826661,0.6151782066820274,0.8505102969906648
16,1.0487795870089922,1.2664317036778938,0.4799061608585842,-0.7659121047801449,-0.7607953692859207,0.8200341096679932,1.0831585711799037
17,1.658747851451139,1.3371997510814315,-1.0131352284792343,-0.7719500401745489,2.4425535540232186,1.840243639770286,1.666116315700065
18,2.239770753008944,1.4238300911375847,-1.226426855527494,1.462086055754924,2.6141615320576364,2.855026523435864,2.5512494048568244
